HS_CODE,COMMODITY_DESC,GEOGRAPHY_CODE,GEOGRAPHY_DESC,ATTRIBUTE_DESC,ATTRIBUTE_UNIT,YEAR_ID,TIMEPERIOD_ID,AMOUNT
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,QTY,2015,6,687502
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,QTY,2015,7,8986440
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,QTY,2015,8,10223595
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,QTY,2015,9,8816994
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,QTY,2015,10,4107425
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,QTY,2015,11,2052738
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,QTY,2015,12,1224047
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,QTY,2016,1,699310
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,QTY,2016,2,570587
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,QTY,2016,3,624424
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,QTY,2016,4,742798
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,VLU,2015,1,2763254
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,VLU,2015,2,4517343
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,VLU,2015,3,3638284
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,VLU,2015,4,2793895
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,VLU,2015,5,2566372
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,VLU,2015,6,3089717
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,VLU,2015,7,52781487
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,VLU,2015,8,50836588
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,VLU,2015,9,40245411
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,VLU,2015,10,22275331
